QuestionNumber,Question,RelatedTags,Answer
669,Do you have a particular explanation as to how Decidueye turns into a ghost type upon evolving from Dartrix?,"['Dartrix', 'Decidueye', 'Distortion', 'Evolution', 'Ghost type', 'Pokemon Biology']",Nothing too fancy! Just figure that the evolution naturally gives it more of an affinity for manipulating Distortional energy.
670,"How do moves that are taught by Move Tutors in the game work in Traveler? Are they rare enough moves that aren't widespread enough to be made into TMs, so you have to find tutors specialized in teaching them?","['Blast Burn', 'Electric Terrain', 'Master Trainer', 'Move Tutor', 'Oz', 'Technology', 'TM']","Moves taught by tutor are usually just fairly rare, or else require intensive, specialized training to use effectively. Or are secrets held by Type Masters such as Blast Burn."
671,How much focus/power would Electric Terrain require to maintain?,['Electric Terrain'],"I imagine a massive upfront cost, then actual maintenance wouldn’t be too bad! Just a bit of focus and energy."
672,"What was the situation in Indigo around Taimu's time? Were there many big nations? Were there very notable ones that had great influence (discounting the Wataru)? Were all the Lords (now Gym Leaders) underneath Taimu and Ryoto Guardians/Leaders of their own tribe/nation, or were there some who simply were notable warriors of great renown?","['Champion', 'Indigo', 'Lords of Kanto', 'Ryoto', 'Taimu', 'Wataru Clan']","In general, Indigo was divided up into city-states. Constantly shifting alliances, and lots of city-states would ally against a greater threat for one war and then prepare to go to war with their former ally."
673,How does the happiness evolution thing work in Traveler?,"['Evolution', 'Pokemon Biology']",Happiness is basically normally an evolution that comes from a feeling of contentment and being accepted by a group in social Pokémon - so once a Pokémon matures and has reached a place of esteem in the social hierarchy that’s usually when it will evolve. [see question 118]
674,"Since Tangrowth grows forever, does that mean he is biologically immortal, will continually grow more powerful, or he just will always be able to regenerate lost limbs?","['Tangrowth', 'Pokemon Biology']",Tangrowth is essentially biologically immortal and will live pretty much up until something kills him.
675,What about weakened 1/3 Moltres (like when he fought Lance) vs evolved Mamoru?,"['Chinatsu', 'King Under the Mountain', 'Legendary Birds', 'Legendary Pokemon', 'Mamoru', 'Moltres']","It’s one of those things where as stupidly powerful as demigods like Mamoru, the King, Chinatsu, and the others are compared to normal Pokémon, they’re still nothing compared to a Legend. The power gap between them is painful."
676,On the Unown.,"['Legendary Pokemon', 'Unown']","So, I will say that Unown can’t be destroyed. You can condense or store them (like the Unown tablet) but they’re constants."
677,How old was Champion Sam when he became champion?,"['Age', 'Champion', 'Professor Oak']",Oak was roughly 20 when he became Champion.
678,What happens if you attempt to teleport a dark type attack?,"['Dark type', 'Distortion', 'Psychic type', 'Teleport']",A psychic would pretty much be completely unable to affect or teleport a Distortion based attack.
679,"So does Orre use primarily Double Battles like the games, or is it Singles like everywhere else?","['Orre', 'Pokemon Battle', 'Pokemon Trainer']","Honestly, Orre is just based around using whatever you have available. Their colosseums are generally double - that’s the max most trainers can easily command at once."
680,Has Elf or one of the mods specifically ever clarified whether current Ash would have won the conference before?,"['Ash', 'Conference', 'Michael', 'Pokemon Battle']","If current Ash faced Conference Michael, he would win if the lineups remained the same. But if Michael was able to adjust and was aware of Ash’s tactics, he still might be able to pull off a victory."
681,Where would he [Ash] get the win from? [see question 680],"['Ash', 'Kanto', 'Pokemon Battle']","Just general improvement honestly. Ash hasn’t made gigantic leaps like in Kanto but he’s had very good, solid, steady progression. Becoming more efficient, tightening up techniques, and in general just becoming more skilled and thoughtful."
682,On what are the factors to be considered when teleporting.,"['Metagross', 'Pokemon Biology', 'Teleport']","Yep, volume and mass both are factors, and Metagross has plenty of both. That’s also one of the reasons conventional trade routes only recently died out - it wasn’t feasible to transport anything but small, lightweight cargo across long distances until pokeball technology was developed."
683,On Ash’s willingness to follow a meal plan.,['Ash'],"To be fair, if there is any kid ever who’s willingly setting up a meal plan and following it rigorously, it’s Ash."
684,Does that mean Surge is on his way to being a true Master Level? Or do you think his team has sorta plateaued?,"['Electric type', 'Gym Leader', 'Master Trainer', 'Surge']","Yeah, Surge loves his team and being strong. He has the potential to become an Electric Master if he set his mind to it, but that’s honestly just not his priority. He’s too invested in his people and role as a Gym Leader to dedicate himself to that path."
685,On Neesha vs. Jessica.,"['Neesha', 'Jessica', 'Pokemon Battle']",I would say Neesha absolutely beats Jessica.
686,Are there dual type specialists?,"['Lorelei', 'Master Trainer']","100%. Probably not something people necessarily identify themselves as, but there’s a lot of types with tons of overlap. Just look at Lorelei."
687,How long ago was the last war?,['Last War'],Roughly 30 years ago!
688,Are there any League Pokémon squads that function without trainers? Aside from the Teleportation division.,"['Castform', 'League', 'Teleport', 'Wild Pokemon']","Yep, there are squads that function without trainers, or at least only check in with League operatives every so often. Lots of scouts that monitor the wilderness and wild Pokémon, Castform deployed to fix all the weather issues, and other functional uses."
689,How does Victini work as a concept?,"['Concept', 'Victini']","In Traveler, Victini is less the Concept of Victory and more the Concept of Probability."
690,Do trainers need to retake badges after each conference tho?,"['Kanto', 'League', 'Pokemon Trainer']",Trainers do need to go through the Kanto badges again if they want to requalify for the Indigo Conference.
691,What other minor gyms are there?,"['Gym', 'League', 'Pokemon Trainer', 'Ranger', 'Wild Pokemon']","Minor Gyms are set up by the Leagues. There’s about 3 per each territory, generally staffed by veteran Gym Trainers for that territory who are looking to gain experience and eventually ascend to a higher role. Their purpose is generally to give the League ability to easily project force into less populated areas and protect towns away from the major cities. They basically act as law enforcement, manage wild Pokémon, support Ranger teams, etc."
692,On Erika’s capabilities and deficiencies.,"['Celadon City', 'Erika', 'Gym Leader', 'Legendary Pokemon']",I will say Erika would be capable of getting a city running. Is it her forte? Not really. But she’d be fantastic at the logistical side and organizing things. She’d be good at picking the people needed to do the groundwork while making things run relatively smoothly in the meantime
693,"How important is privacy for the general population, or the League, taking psychics into account? Like we know they are used for a vetting process of League members, but how much is the Pokemon allowed to probe, everything? Could a psychic be used during a census to preemptively attack criminals? Would the people be ok with that and accept it like we do when going through a metal detector?","['Crime', 'Dark type', 'Ghost type', 'Gym Leader', 'League', 'Lords of Kanto', 'Psychic type', 'Technology']","Honestly, psychic scans are pretty standard fare at this point. People are largely accustomed to it - the wilds and cities are patrolled by psychics that maintain a surface level scan. Not enough to really read thoughts, but enough to pick up on issues. The metal detector analogy you have is a good one. It’s one of those things where in our world a psychic scan would be horribly intrusive - in the Pokémon world they’re used to it."
694,Would gym leaders now have to go through annual scans?,"['Gym Leader', 'Indigo', 'League']","Yeah there’ll be frequent scans, probably once every few months in the Indigo League."
695,His [Giovanni’s] mother was the former boss wasn’t she?,"['Giovanni', 'Team Rocket']","Yep, that applies to Traveler!"
696,Would that be headed by the E4 or someone else in the league? [see question 694],"['Elite Four', 'League']",Most likely an Elite Four member (who has also been vetted by several different psychics).
697,On whether electricity generated by Electric type Pokemon is actual electricity.,['Electric type'],"For the electric-types, Pokémon are generating real electricity just not real lightning. They’re all capable of producing an electric charge."
698,Are there any defining features to pierce's umbreon?,"['Pierce', 'Pokemon Behaviour', 'Umbreon']","No real details that I can remind - just savage, snarling, and distinctly feral looking. Probably lots of scars, poor self-hygiene (matted fur, bloody muzzle if it’s been in a fight)."
699,Are there any distinct features to Princess? like scars?,"['Pokemon Behaviour', 'Princess']","No major scars on Princess, but lots of small ones. I see her as the type to demand perfect healing."
700,"The Pokemon powerchart, the one with Ash's pokemon and the rest, is it subject to change as the team grows, or what the Elf has planned for them to stand at at their prime?","['Ash', 'Meta']","It’s showing where they currently stand, so it is subject to change!"
701,On the average strength of a Conference participant.,"['Conference', 'League', 'Pokemon Trainer', 'Ranger']","Yep, the majority of Conference battlers will be veterans. Not many rookies are able to join, let alone make it past the first few rounds. Placing in the Conference is a good way to get attention, and that’s when lucrative opportunities from the League and private organizations start rolling in."
702,"How replicable is a Metagross' strength? Say for example that Steven's Metagross goes to the colony, communicates to them all the things it does under Steven's command, what prevents the colony from ""assembling"" a Metagross with very close capabilities?","['Metagross', 'Metagross Colony', 'Steven', 'Stone Family', 'Technology', 'TM']","They do share experience, knowledge, etc. very fluidly! Going forward, the Stone’s colony will be one of, if not the, most powerful colonies in the world. They’ll be able to utilize that knowledge and Steven’s Metagross’ experience and skills to train exceptional Metagross in defense of the colony."
703,"All of his [Blaine’s] cloning innovations were after the war, right?","['Blaine', 'Last War', 'Technology']","Yep, the cloning innovations came after the war!"
704,So were the cloning things a drunken experiment?,"['Blaine', 'Technology']",More of an attempt at escape.
705,What would you title the specific arcs in Traveler?,['Meta'],Arc 1: Beginnings.Arc 2: Consequences.Arc 3: Rising.Arc 4: Erosion.Arc 5: Recovery.Arc 6: Immersion.Arc 7: Quandaries.
706,Bit disappointed that [during chapter 52] there wasn't some delving into whatever business that happened with Pike though.,"['Ash', 'Drake', 'Meta', 'Pike']","I remembered Pike/Drake haha. It’s just a minor footnote for Ash, though. And I think it would’ve been an awkward dinner conversation."
707,Did you get her [Hata’s] name from the weapon?,"['Glaive', 'Hasta', 'Pike', 'Wataru Clan']","I’ve given some of the Wataru a bit of a naming convention with that. Glaive, Hasta, Pike."
708,I can see Lance in that naming convention but where did Clair come from? [see question 708],"['Clair', 'Lance', 'Wataru Clan']","I’m just having it arranged by different families - not everyone does it, and I had Clair’s mom named something different if I remember right. I wanted to show that her family didn’t have that particular tradition."
709,"When Ash goes to see Lt. Surge, would Brock be there for his training still or is Brock back in his city?","['Brock', 'Gym Leader', 'Pewter City', 'Surge']",Brock will be back in Pewter - he’s completed his Gym Leader training.
710,On whether Clair didn’t battle Gary due to lack of Pokemon available.,"['Clair', 'Gary', 'Gym Leader', 'Pokemon Battle']","Admittedly, Clair has several additional Pokémon that would’ve easily filled the gaps in on her team. Gym Leaders have to have enough to go toe to toe with multiple challengers. Her vacation is a training trip, but she mostly did it just to mess with Gary."
711,On the effect of Moltres’ feather.,"['Ash', 'Concept', 'Legendary Birds', 'Legendary Pokemon', 'Moltres']","Won’t touch on the others since I like this discussion, but Fire makes him [Ash] more passionate. It enflames his emotions. Amongst other things."
712,How come Daisy has permission for carrying a full team?,"['Daisy', 'League', 'Pokemon Trainer']",After some time as a trainer it’s possible to receive a certification allowing for more. It’s not common - most people simply can’t manage a larger team - but for those with the talent and trust of a League it’s an option.
713,On Tani.,"['Ash', 'Feather', 'Legendary Birds', 'Legendary Pokemon', 'Lugia', 'Tani', 'Zapdos']","Oh! Another thing I wanted to mention but forgot - Tani received her Feather from a Third of Zapdos, the roamer (also the one that Ash met at the power plant). Recollections Chapter 21 took place after they were sundered by Lugia, around the times the first true kingdoms and states had been properly established."
714,So did Zapdos purposefully leave its feather behind [for Tani]?,"['Feather', 'Legendary Birds', 'Legendary Pokemon', 'Tani', 'Zapdos']","Sort of. Zapdos scatters Feathers pretty frequently without care, but they almost always fizzle out before anything finds them (and most things that find them steer clear)."
715,What is the political structure of Rota?,"['Indigo', 'League', 'Rota', 'Tree of Beginning']","It’s one of the last kingdoms still extant in the modern age and is ruled by its queen. It’s a rather small nation but one with a long, long history. Rota was originally founded by worshippers of the Tree of Beginning, and its worship and symbolism remains a prominent staple of Rotan culture. It remained independent from the Leagues, although it has close ties to Indigo and acts as a sort of territory for it in practice - they abide by League laws, support League members in the area, and in turn receive many benefits while retaining their de facto independence."
716,Would Infernus ever learn Confuse Ray?,"['Confuse Ray', 'Dark type', 'Gary', 'Infernus', 'Umbreon']","Yep, Infernus can use Confuse Ray although it’s not a ‘proper’ version like you’d see from a skilled dark-type or ghost like Gary’s Umbreon. That level of Confuse Ray - essentially the OHKO, crippling version - is extremely demanding."
717,On the difference between veteran Master level Trainers and newcomers.,"['Agatha', 'Bruno', 'Karen', 'Master Trainer', 'Will']","Yep, there’s definitely a huge difference between Masters like Agatha or Bruno and younger Masters  like Karen or Will."
718,"Plume can learn ominous wind apparently, think that'd help against confuse ray and perish song?","['Confuse Ray', 'Distortion', 'Ominous Wind', 'Perish Song', 'Plume']","It could by disrupting the Distortional energies, although her best option is definitely still to fly away!"
719,"How would you describe perish song, is it like an area of effect with a limited range or is it more of, if you can hear it, it'll affect you?",['Perish Song'],"Yep a bit of both factors come into play! It exponentially weakens the farther from it you are, but it has a real risk to it no matter what."
720,On the difference between Dialga and Celebi’s concept.,"['Celebi', 'Chinatsu', 'Concept', 'Dialga', 'Lance', 'Legendary Pokemon', 'Moltres']","Yep, that’s a good way of looking at it. Dialga is more of the primal force. Celebi is an embodiment of a will/intelligence behind that force. You can kind of look at it as a similar situation to Moltres and Lance or Chinatsu."
721,He’s still 11 right? cause I thought I saw somewhere that said he was 12.,"['Age', 'Ash', 'Hoenn', 'Meta', 'Vermillion City']","Nope, he’s twelve now [chapter 53]. He turned 11 around Vermillion in Chapter 3 and 12 shortly before he left for Hoenn."
722,What do you think about Torrent using ice to coat his body for defence and Sneasel slipping into the distortion realm to dodge attacks?,"['Torrent', 'Sneasel']",We’ll actually see Torrent doing something similar to that but with water instead. I think water will provide a better cushion and resistance to physical and elemental attacks than ice!
723,On Skill Swap.,['Skill Swap'],"Skill Swap works in some fashion, but Inusually see it as a mental technique copying mental traits of the user onto the receiver. It’s one of those nightmare moves to try to fully incorporate!"
724,So how often has gabite destroyed an important document?,"['Gabite', 'Lance', 'Pokemon Behaviour']","Very rarely, unfortunately. Lance is pretty responsible and learned quickly."
725,On Plume’s strength.,"['Hyper Beam', 'Plume', 'Pokemon Battle']","The thing with Plume is that she’s absolutely terrifying in a lot of ways. In the field she’s easily one of the most valuable members of the team. Regulated matches just don’t play to her strengths in the least - confined spaces, limited area to fly and accelerate, etc. In the field, though, she’s essentially instant death. Too fast to see or hear coming, capable of sniping with Hyper Beams, and capable of disrupting enemy formations with techniques like Hurricane. She’d actually fare really, really well against most members of the team in a one-on-one. She just has terrible match ups for the most part. It’s something I hope to fix going forward."
726,How would that affect their [Nidoking and Nidoqueen’s] evolution and sterilisation?,"['Nidoking', 'Nidoqueen', 'Pokemon Biology']","[Redacted] is right, as of this moment I have Nidoking and Nidoqueen as sterile for the reasons he mentioned [and it prevents bloodlines from taking over - averting the issue of hereditary monarchy. By eliminating the ability for matriarchs and patriarchs to reproduce it enforces a system where the best of the herd is elevated rather than just the children of the matriarchs and patriarchs]. Keep in mind that Nidoking would NOT naturally evolve at such a young age. In the wild he’d have had one or two decades easily to spread his genes before making the evolution to Nidoking."
727,On why Dialga and Palkia’s name appear as a tetragram.,"['Dialga', 'Creation Trio', 'Legendary Pokemon', 'Meta', 'Palkia']","That said, that’s just the real world I got inspiration from. There’s plenty of in-universe reasons for culturally avoiding the names. They’re incredibly sacred and given enormous gravitas."
728,On how Legends are regarded in Sinnoh.,"['Concept', 'Kanto', 'Legendary Pokemon', 'Sinnoh']","Yep, I figured that Sinnoh is much more favorable to the Legends. Kanto holds great respect and reverence for them, but Sinnoh has several Legends with Concepts favorable to humanity, particularly those that offer peace and vitality instead of rampant destruction."
729,How cooperative are the cults [Sinnoh’s] with each other?,"['Calanthia', 'Weeping Era']","They’re fairly distinct, but do interact on occasion. They’ve come together in the past to achieve great things, such as supporting Calanthia and ending the Weeping Era."
730,"How will Ash's sanity survive after Darkrai, Palkia and Dialga?","['Ash', 'Creation Trio', 'Darkrai', 'Dialga', 'Legendary Pokemon', 'Meta']","One advantage to Ash ‘starting small’ with the Legends is that he’s slowly being hardened by the experience. He would never have been able to withstand the Spheres at the beginning of his journey, for example."
731,On Ash’s future growth.,['Ash'],"Yep, I won’t go into detail but Ash has a lot of potential power at his fingertips once he becomes more aware of things."
732,On the consequences of Ash tapping into the Concepts’ power.,"['Ash', 'Concept']","Keep in mind that even if Ash receives a Brand and can theoretically tap into a Concept, it’s not safe in the least. Very much a double-edged sword and there are things that man just isn’t meant to mess with."
733,"Defenders, Learned, and Stalwart, huh?","['Defenders', 'Empathetic', 'Jubilife City', 'Lake Orders', 'Learned', 'Stalwart']","Yep! Well, admittedly the Defenders are a military organization of Jubilife that only take inspiration from the Lake. The true order that follows Mesprit is the Empathetic."
734,On Grey’s Scolipede.,"['Grey', 'Hydreigon', 'Psychic type', 'Scolipede']","Yep, Scolipede is basically an assassin. It’s generally used to pick apart teams and strike vulnerable members while Hydreigon takes the attention off it. Psychics don’t last long with Scolipede round."
735,On the people who are aware of Mega Evolution.,"['Champion', 'Draconids', 'Elite Four', 'Hoenn', 'Kalos', 'Last War', 'League', 'Lumiose', 'Mega Evolution', 'National League']","Yep, they existed in some form in Hoenn but it was a well kept secret by the Draconids. It’s much more common in Kalos and incorporated into many of their traditions. Many Mega Stones are prized possessions of the old aristocratic families."
736,Is any part of Infernus made of magma?,"['Infernus', 'Pokemon Biology']","Nope, but his body is similar and includes mineral components that are superheated you essentially be magma. I imagine he’s more silicon-based in general, with minor insulated organic components. A very alien form of life from our perspective."
737,How old are the Champions in the national league i.e Steven Cynthia and Lance?,"['Age', 'Champion', 'Cynthia', 'Lance', 'Steven']","Lance is about 27, Steven started training when Lance did but is a little under a year younger, and Cynthia just a little younger than Steven. [see question 21]"
738,On who trained Steven.,"['Fino Moore', 'Steven']","Yep, Fino Moore!"
739,Is it spoilery to ask for info on Flint?,"['Flint', 'Infernus', 'Magmortar', 'Pokemon Battle']","Nah! I don’t have too much on him, honestly. Just that his Magmortar is an absolute beast. It would solidly beat Infernus if that tells you anything! [see question 436] [see question 660]"
740,On the Hashimoto.,"['Agatha', 'Confuse Ray', 'Curse', 'Dark type', 'Distortion', 'Hashimoto', 'Lavender Town', 'Lords of Kanto', 'Psychic type', 'Saffron City', 'Shadow Ball']","In the past, the Hashimoto were quite plentiful. Several dozen, generally. They perfected the “stuff a screaming newborn ghost into a screaming newborn human” technique a few centuries ago and had time to refine it. When the family was butchered in the war that began the end of the reign of Lords in Indigo, only a single family unit remained. Their potent knowledge of Distortion and hybrids made them prime candidates for buying Lavender time - the Hashimoto were major parts of the defense in Saffron and the Lavender territory."
741,"So is Mega [Metagross] stronger than the ancients, like Mamoru and the nidos and Clefable and the King?","['Chinatsu', 'Clefable', 'Ghost of Lavender', 'King Under the Mountain', 'Mamoru', 'Mega Evolution', 'Teleport']","Ehhhhh, I’d say it depends. Chinatsu makes power set would obliterate Metagross. Mamoru would have a rough time against Mega Metagross, and without evolving would be beaten."
742,What is the age difference between Karen and Lance?,"['Age', 'Karen', 'Lance']",Karen is 20-21. [see question 21] [see question 737]
743,"How Elf will differentiate Sidney and Karen's fighting styles, if at all?","['Karen', 'Sidney', 'Pokemon Battle']","Yep. Sidney’s approach to combat is to allow no quarter. A mix of extraordinarily intricate mental attacks and illusions, offensive power, and environmental manipulation. He’s ferocious."
744,"Can Dazed do what Sydney’s Zoroark can do if she trains at it? Maybe not the exact same thing, but similar techniques/tactics? [see question 743]","['Age', 'Karen', 'Lance']","Sort of! Not actual physical manipulations, but she can get into heads and alter their perceptions."
745,"So the physical manipulations are made possible by Distortion Energy? What if she used... shaped barriers or something. Made them look different via... Light Manipulation? (Hypno do learn Flash) Bit of a stretch, but... maybe?","['Dazed', 'Distortion', 'Flash', 'Hypno', 'Pokemon Battle']","Yep, it would theoretically be possible to do physical illusions for Dazed but it would be very complex. In a one-on-one match a mental effect would be more straightforward."
746,How does Lance fair against Agatha and ghosts?,"['Agatha', 'Dragon type', 'Ghost type', 'Lance', 'Pokemon Battle']","As for Lance, one thing to remember is that his dragons are very, very fast for the most part. It’s hard to hit those flying targets even for Agatha’s team, and the elemental attacks and AoE are extremely well-suited for taking down her ghosts and nullifying their advantages."
747,If Spiritomb changes from its corruption what would it look like in battle?,"['Cynthia', 'Pokemon Battle', 'Pokemon Biology', 'Spiritomb']","Spiritomb will always be able to fight in some capacity, and Cynthia would be in the perfect spot to exploit its changing abilities. Even if it reached the point where it can’t directly hurt Pokémon, sharing its positive emotions and manifesting them could end a fight just as well."
748,"When Ash gets his Ghost Pokemon and has a lifetime of devouring Ash aura/Concepts, would Ash Ghost Pokemon be different from other Ghost Types? Would Ash Ghost Pokemon need or refuse to eat other people's Auras, because of Ash’s Aura is so powerful or potent or perhaps....tasty?","['Ash', 'Aura', 'Ghost type', 'Pokemon Biology']","Ghosts can be quite nebulous. I don’t think it would be especially different from other ghosts, but I do think it would be subtly shaped by its experiences with Ash."
749,On Infernus vs. Champion level Pokemon.,"['Champion', 'Infernus', 'Master Trainer', 'Pokemon Battle']","Explanation for Infernus - he tends be as much of a raw threat as a Champion-level pokemon due to teleportation and his body heat crippling the average matchup. Overall he’s Master-level, as a Champion-leave opponent will usually be able to handily beat him, particularly if they’re prepared for him."
750,On whether Ash took his Moon Stone and Dragon Scale with him on his journey.,"['Ash', 'Dragon Scale', 'Hoenn', 'Moon Stone', 'Pallet Town']","Yeah there’s some inconsistency there. I’d intended on making a mention in early Hoenn of Ash leaving them in Pallet instead of taking them, but I never did."
751,On who knows about the link between Ash and Mewtwo.,"['Ash', 'Lance', 'Mewtwo', 'Will']","Yep, Will knows what’s up and Lance at least knows about the link. I don’t think Lance realized it was so accessible, though."
752,How much time passed this chapter [chapter 56]?,['Ash'],"Roughly 3 weeks. We’ll be seeing the rate of time passing pick up a fair bit from here on out, which will be great for Ash’s growth."
753,On when the Ever Grande Conference took place.,"['Ash', 'Conference', 'Ever Grande', 'Juan', 'League']","Just to make a quick correction, the Ever Grande League was taking place when Ash first went to Hoenn, which is why Juan wasn’t there to battle him. Any future Ever Grande Conference that Ash would be competing in would take place in roughly 9 months."
754,Is Dazed left or right handed?,"['Dazed', 'Pokemon Biology']",I'd say left-handed!
755,"When she [Dazed] polishes it, does she polish holding it in her left or right hand? [see question 754]","['Dazed', 'Pokemon Behaviour']","I figured she'd have her pendulum in her dominant hand since she probably has to keep a tight grip on it with all the force that she channels. Her off hand is mostly used for support, and when she's polishing it she holds the pendulum in her left hand while using the right to rub her mane on it."
756,"You told us where she [Dazed] got the rock for her pendulum from, but where did she get the string from?","['Dazed', 'Hypno', 'Pokemon Behaviour']","Most Hypno just pluck a few hairs from their mane and cord them into a thread for their pendulum, although I can imagine some preferring to use plant fibers. I doubt any would be too eager to use synthetic materials, although some urban Hypno might out of pragmatism."
757,We gonna have an orre arc?,"['Ash', 'Orre', 'Region']","Ash will be visiting Orre at some point, although I haven't hammered out 100% of the details at this time."
758,Does anyone know if Torrent has any scarring yet?,['Torrent'],"Hmm, not that I can remember. He’s taken some hard hits but he’s tough enough that I can’t remember him taking permanent damage."
759,How tall is Torrent?,"['Torrent', 'Pokemon Behaviour', 'Pokemon Biology']",Torrent’s about six feet from tip of his tail to the end of his horns. Throw in about a foot of levitation and he’s usually hovering at seven feet.
760,How tall is Ash?,"['Ash', 'Giovanni']","Ash is decently tall for his age. I imagine his build and height will come from Giovanni, who I always pictured to be a big guy."
761,Does Infernus actually have a tail or is it literally just an area that shoots fire because having your blind spot being on fire seems like a good thing for survival?,"['Infernus', 'Pokemon Biology']",He does have a tail. I figure there is a tail that the flame burns from.
762,Does your Infernus have a nose of any kind? Or ears that are actually visible?,"['Infernus', 'Pokemon Biology']",I picture Infernus having nostrils more akin to a gorilla than an actual nose. Maybe in that black spot on his face? And haven’t really considered the ears situation! I’m guessing they’re mostly just covered up by the fire
763,"Does Spiritomb actually glow in your depiction, or was that more that when it didn’t manifest it had its presence shown through a purple glow emitting from the keystone.","['Pokemon Biology', 'Spiritomb']","Yep. The green orbs have a bit of a sickly green glow, almost like depictions of uranium in cartoons, while the fog drinks up light. When it’s not manifested the purple fog faintly seeps from the Keystone."
764,How much of Mismagius do you consider to be smoke-like?,"['Mismagius', 'Pokemon Biology']","Hmm I mostly imagine the edges to be faintly smoke-like while the majority appears fairly solid. Sort of like the edges are fading away into smoke. That said, I’d love to see your interpretation!"
765,On Battlus.,"['Battlus', 'Elite Four', 'Master Trainer', 'Michael', 'Mt. Battle', 'Orre', 'Region']","I’d recommend Battlus. He’s a true Master and is going to be one of Michael’s most powerful allies. Plus he doesn’t have a criminal past so he’d be more respected on an international stage compared to the rest of Michael’s Elite Four, who will be somewhat sketchy."
766,On Karen’s team.,"['Absol', 'Distortion', 'Houndoom', 'Karen']","Yep, Absol is a beast. So is Houndoom. She relies heavily on them in physical confrontations, although most of her team is perfectly capable of fighting Distortion resistant teams. Karen isn’t one to allow many weaknesses."
767,On nurture vs. nature.,"['Charizard', 'Dragonite', 'Hyper Beam', 'Pokemon Battle', 'Raticate']","Eh, I’d say there’s room for a well-trained pokemon to take down anything. Some Pokémon have inherent potential or advantages, but training (especially when it comes to shooting Hyper Beams and elemental attacks that equalize the playing field) make things more fair."
768,On whether there is a year 0.,"['Drake', 'Kanto', 'Taimu']","I’m not committing to anything until it becomes more relevant in the story, but I do like the idea of a Year 0 covering where Taimu has united Kanto but is organizing for the war against the Drake. Sort of a symbolic acknowledgement that they’d entered a new era, but the job wasn’t quite finished."
769,"In regards to Sidney vs Steven's Metagross, can Metagross prevent any dark type energy from reaching him?","['Champion', 'Dark type', 'Distortion', 'Ghost type', 'Metagross', 'Miracle Eye', 'Pokemon Battle', 'Sidney', 'Steven', 'Zoroark']","Metagross is a beast. It and Steven have planned for fighting dark and ghost-types. That said, Sidney is a nightmare for it. Once Metagross is struck - or even just numbed by Distortion saturating the field - Zoroark’s illusions (which are fueled by Distortion) will take effect and even the battle. Generally it takes 2-3 members of the team to safely weaken Metagross (it can usually take one or two down with Miracle Eye and precision shots) for Zoroark to safely take it down. That’s absolutely crippling when you still have five Champion-levels to fight. Sidney is very, very well-suited to nullifying Steven’s biggest advantage though."
770,How does Mega Aerodactyl stack up to a Mega Metagross?,"['Aerodactyl', 'Mega Evolution', 'Metagross', 'Pokemon Battle']",And I’d definitely give it to Mega Metagross!
771,Does Sidney have Mega Sharpedo?,"['Elite Four', 'Mega Evolution', 'Sharpedo', 'Sidney']",Generally you can assume that an Elite Four member will have any Mega Stone available to their team!
772,Can Regular Sharpedo float like Kingdra?,"['Distortion', 'Kingdra', 'Sharpedo']","They probably could with specialized use of Distortion, but it’d be draining."
773,On the Sensational Sisters.,"['Erika', 'Gym Leader', 'Sensational Sisters']","The Sisters are actually really good at their job. Similar to Erica in that they do specialize more in peacetime, but they’re also much more willing to be aggressive and drop the hammer when needed."
774,On Giovanni’s starter.,"['Giovanni', 'Persian', 'Pokemon Starter']",I always figured Persian was his starter.
775,On Giovanni’s Persian.,"['Champion', 'Giovanni', 'Jolteon', 'Michael', 'Persian']","Yep. Giovanni’s Persian was Champion-level, similar to Michael’s Jolteon."
776,What does a champion level Persian look like? In comparison to Jessica's.,"['Champion', 'Dragon type', 'Jessica', 'Lance', 'Persian']","Not too dissimilar, honestly. It’s definitely more muscular but not by too much. The biggest difference is just it’s sheer control and mastery over techniques."
777,On Kanto’s topography.,"['Celadon City', 'Kanto', 'Region']","Kanto has a lot of woods in general. Central Kanto is definitely flatter and more developed, so forests have been pushed back around the cities. Celadon has a lot of farmland. Otherwise I don’t have too many specifics to add!"
778,On the name of the planet.,"['Location', 'Meta', 'Sinnoh']","I generally just call it Earth. I’ve had some groups in Sinnoh (usually Legendary cults) call the planet Coronet, but that’s because they’re Sinnoh-centric and wrapped up in their own mythology."
779,"Thinking about writing about the beginning of the National League, who were the Champions at that time?","['Champion', 'Drake', 'Hoenn', 'Indigo', 'Irene', 'Last War', 'National League', 'Sinnoh', 'Uther']",Hoenn: Drake.Indigo: Uther.Sinnoh: Irene.
780,On whether part of Ash’s team can draw power from his Feather.,"['Ash', 'Feather', 'Infernus', 'Oz', 'Psychic type', 'Sneasel']","Theoretically it's possible for Infernus, Oz, and Sneasel to draw upon the Feather's power, but it would be much more difficult for them than a psychic. It would definitely require direct contact, which could mean it would be difficult to use in a life-or-death battle. Psychics kind of have a built-in advantage where their abilities are much more tuned for drawing on ambient power and directing it."
781,"Psychics are overall pretty OP, huh?","['Psychic type', 'Technology', 'TM']","Oh yeah, their sheer versatility makes them utter nightmares. They were even scarier before TMs became available and pretty much everything could learn at least one technique to pierce through psychic powers."
